"Windows Excel,""AndroMoney"",""20240224"""
"Id,""Currency"",""Amount"",""Category"",""Sub-Category"",""Date"",""Expense(Transfer Out)"",""Income(Transfer In)"",""Note"",""Periodic"",""Project"",""Payee/Payer"",""uid"",""Time"""
"2,""PLN"",""23.97"",""Food"",""Refreshment"",""20240211"",""Bank"","""","""","""","""","""",""7e601e94aa5e4423b503b4bdae99f113"",""1533"""
"1,""PLN"",""10"",""Social"",""Social Activities"",""20240211"",""Cash"","""",""Sk?adka w ko?ciele"","""","""","""",""2745f43ed14b4670aa911af5d1aed2ec"",""1334"""
"8,""PLN"",""49.98"",""Car/Motor"",""Gasoline"",""20240212"",""Bank"","""","""","""","""","""",""6ce7bfcd503e461288a83e86635c4ae2"",""729"""
"5,""PLN"",""273.09"",""Car/Motor"",""Gasoline"",""20240212"",""Bank"","""","""","""","""","""",""3102245cecad42619d233cdabf60cbf0"",""1800"""
"4,""PLN"",""157"",""Food"",""DINE OUT"",""20240212"",""Bank"","""",""Indian flame food"","""","""","""",""13dcd275239346edbaeba2ac8e24d708"",""1400"""
"3,""PLN"",""118.47"",""Medical"",""Drugs"",""20240212"",""Bank"","""",""Leki na ci?nienie"","""","""","""",""a2c49db0e0334db8a447b7162d6fb626"",""1036"""
"7,""PLN"",""130"",""Social"",""Gifts"",""20240214"",""Bank"","""",""Kwiaty dla ?ony"","""","""","""",""22e8d00857be4c7584851f6c63cf4e2d"",""1028"""
"6,""PLN"",""10"",""Social"",""Social Activities"",""20240214"",""Cash"","""",""Sk?adka w ko?ciele"","""","""","""",""faa68873d0a44a35b9cb7c53afbc0a01"",""2030"""
"14,""PLN"",""7.98"",""Food"",""Ingredients"",""20240215"",""Bank"","""",""P?czki u Buczka"","""","""","""",""748b10e79efb4836bda4c962fb773ef6"",""1729"""
"13,""PLN"",""59.99"",""Social"",""Family"",""20240215"",""Bank"","""",""Pampersy"","""","""","""",""d2e6a85396124c6a8e149f06a745d7eb"",""1728"""
"12,""PLN"",""54.24"",""Food"",""Ingredients"",""20240215"",""Bank"","""",""Lewiatan"","""","""","""",""cc504f9587694f2aab1ac79eb74e6431"",""1732"""
"11,""PLN"",""30"",""Personal 3C"",""Cell Phone"",""20240215"",""Bank"","""",""PLAY"","""","""","""",""81dd84e9087441afb2c45cee774837da"",""1726"""
"9,""PLN"",""500"",""Social"",""Family"",""20240216"",""Bank"","""",""Ofiara na chrzest"","""","""","""",""4a6faa2d55854acbab44a0c2a4007b40"",""1704"""
"16,""PLN"",""85"",""Car/Motor"",""Maintenance"",""20240217"",""Bank"","""",""Wycieraczki"","""","""","""",""baeb237444ee4a6cac009ba706cced99"",""1731"""
"15,""PLN"",""8"",""Car/Motor"",""Car Beauty"",""20240217"",""Bank"","""",""Myjnia"","""","""","""",""2c2efeea611b4928bab0a74d60964373"",""1730"""
"10,""PLN"",""85"",""Car/Motor"",""Maintenance"",""20240217"",""Bank"","""","""","""","""","""",""24504af60e5e49d195a8ca86313a2b7b"",""1319"""
"17,""PLN"",""50"",""Entertainment"",""Bukmacher"",""20240218"",""Bank"","""",""Superbet"","""","""","""",""02e80411160248a39263a4d44f94ee48"",""1132"""
"19,""PLN"",""65"",""Social"",""Gifts"",""20240219"",""Bank"","""",""NETIA"","""","""","""",""2cb3e35870a045d58a9c7aa9b0b6265d"",""1733"""
"18,""PLN"",""11.2"",""Food"",""Ingredients"",""20240219"",""Bank"","""",""Pieczywo"","""","""","""",""e5c6e0334c924cd0ab0cf1fe6c32cef9"",""833"""
"21,""PLN"",""15"",""Food"",""Ingredients"",""20240224"",""Bank"","""",""Pieczywo"","""","""","""",""e5c6e0334c924cd0ab0cf1fe6c323333"",""833"""
